Time,C9,C1,C2,C3,C4,C5,C6,C7,C8
11-29-2022_14.52.14,0.0,29105.72856593618,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,1.015858145660417
11-29-2022_14.56.58,0.0,28722.798923490966,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,29488.658208381392,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,29105.72856593618,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,28532.10303729335,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,29680.89196462899,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.58,0.0,27956.93963860054,0.013056516724336794,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,29105.72856593618,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.58,0.0,29871.587850826607,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,28722.798923490966,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,29297.962322183776,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,28339.869281045754,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,28722.798923490966,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,29488.658208381392,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.56.59,0.0,28532.10303729335,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,28532.10303729335,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.56.59,0.0,29680.89196462899,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,28339.869281045754,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,29297.962322183776,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,28339.869281045754,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,28722.798923490966,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,29871.587850826607,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.5406413035095334
11-29-2022_14.57.00,0.0,28532.10303729335,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,27956.93963860054,0.013056516724336794,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.00,0.0,29105.72856593618,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,29680.89196462899,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,27956.93963860054,0.013056516724336794,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,28339.869281045754,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,28722.798923490966,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,29488.658208381392,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.01,0.0,29297.962322183776,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,28532.10303729335,0.013041138023836987,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.01,0.0,29297.962322183776,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,29680.89196462899,0.012995001922337563,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,28149.173394848138,0.013056516724336794,-9601.69165705498,-9969.242599000385,0.13623744808173474,0.0,0.0,0.0
11-29-2022_14.57.02,0.0,28722.798923490966,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.15515720523307439,0.0,0.0,2.541637242868024
11-29-2022_14.57.02,0.0,28915.032679738564,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.02,0.0,28722.798923490966,0.01302575932333718,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
11-29-2022_14.57.02,0.0,29488.658208381392,0.013010380622837372,-9601.69165705498,-9969.242599000385,0.13661736288397047,0.0,0.0,2.541637242868024
