Time,0x180601fd_0_1
11-29-2022_14.58.49,18802
11-29-2022_14.58.49,19300
11-29-2022_14.58.49,19424
11-29-2022_14.58.49,18553
11-29-2022_14.58.50,18553
11-29-2022_14.58.50,19175
11-29-2022_14.58.50,18304
11-29-2022_14.58.50,18802
11-29-2022_14.58.50,19424
11-29-2022_14.58.50,18802
11-29-2022_14.58.50,18677
11-29-2022_14.58.50,19175
11-29-2022_14.58.50,19300
11-29-2022_14.58.50,18553
11-29-2022_14.58.51,18677
11-29-2022_14.58.51,19424
11-29-2022_14.58.51,19175
11-29-2022_14.58.51,18802
11-29-2022_14.58.51,18926
11-29-2022_14.58.51,19300
11-29-2022_14.58.51,18553
11-29-2022_14.58.51,18802
11-29-2022_14.58.51,19549
11-29-2022_14.58.51,19175
11-29-2022_14.58.52,18428
11-29-2022_14.58.52,18926
11-29-2022_14.58.52,19424
11-29-2022_14.58.52,18179
11-29-2022_14.58.52,18926
11-29-2022_14.58.52,19424
11-29-2022_14.58.52,18677
11-29-2022_14.58.52,18553
11-29-2022_14.58.52,19051
11-29-2022_14.58.52,19175
11-29-2022_14.58.53,18553
11-29-2022_14.58.53,18926
11-29-2022_14.58.53,19300
11-29-2022_14.58.53,18802
11-29-2022_14.58.53,18428
11-29-2022_14.58.53,19051
11-29-2022_14.58.53,18677
11-29-2022_14.58.53,18055
11-29-2022_14.58.53,19051
11-29-2022_14.58.53,19300
11-29-2022_14.58.54,18055
11-29-2022_14.58.54,18802
11-29-2022_14.58.54,19051
11-29-2022_14.58.54,18926
11-29-2022_14.58.54,18677
11-29-2022_14.58.54,19051
11-29-2022_14.58.54,18802
11-29-2022_14.58.54,18428
11-29-2022_14.58.54,18677
11-29-2022_14.58.54,19424
11-29-2022_14.58.55,18304
11-29-2022_14.58.55,18677
11-29-2022_14.58.55,19175
11-29-2022_14.58.55,19051
11-29-2022_14.58.55,18553
11-29-2022_14.58.55,19300
11-29-2022_14.58.55,19424
11-29-2022_14.58.55,18677
11-29-2022_14.58.55,18553
11-29-2022_14.58.55,19424
11-29-2022_14.58.56,19051
11-29-2022_14.58.56,18553
11-29-2022_14.58.56,19051
11-29-2022_14.58.56,19300
11-29-2022_14.58.56,18304
11-29-2022_14.58.56,18677
11-29-2022_14.58.56,19300
11-29-2022_14.58.56,18553
11-29-2022_14.58.56,18677
11-29-2022_14.58.56,18802
11-29-2022_14.58.57,18802
11-29-2022_14.58.57,18553
11-29-2022_14.58.57,19051
11-29-2022_14.58.57,19673
11-29-2022_14.58.57,18428
11-29-2022_14.58.57,18802
11-29-2022_14.58.57,19549
11-29-2022_14.58.57,18926
11-29-2022_14.58.57,18677
11-29-2022_14.58.57,19175
11-29-2022_14.58.58,19424
11-29-2022_14.58.58,18304
11-29-2022_14.58.58,18677
11-29-2022_14.58.58,19175
11-29-2022_14.58.58,18802
11-29-2022_14.58.58,18677
11-29-2022_14.58.58,19051
11-29-2022_14.58.58,19673
11-29-2022_14.58.58,18802
11-29-2022_14.58.58,18553
11-29-2022_14.58.59,19424
11-29-2022_14.58.59,18428
11-29-2022_14.58.59,18677
11-29-2022_14.58.59,18926
11-29-2022_14.58.59,18802
11-29-2022_14.58.59,18553
11-29-2022_14.58.59,19549
11-29-2022_14.58.59,20296
11-29-2022_14.58.59,17806
11-29-2022_14.58.59,18304
11-29-2022_14.59.00,19051
11-29-2022_14.59.00,18926
11-29-2022_14.59.00,20047
11-29-2022_14.59.00,24031
11-29-2022_14.59.00,24778
11-29-2022_14.59.00,23907
11-29-2022_14.59.00,24778
11-29-2022_14.59.00,24280
11-29-2022_14.59.00,22786
11-29-2022_14.59.00,24405
11-29-2022_14.59.01,21541
11-29-2022_14.59.01,18553
11-29-2022_14.59.01,18304
11-29-2022_14.59.01,18553
11-29-2022_14.59.01,18926
11-29-2022_14.59.01,18179
11-29-2022_14.59.01,18926
11-29-2022_14.59.01,19424
11-29-2022_14.59.01,18677
11-29-2022_14.59.01,18304
11-29-2022_14.59.02,18926
11-29-2022_14.59.02,18802
11-29-2022_14.59.02,18179
11-29-2022_14.59.02,19051
11-29-2022_14.59.02,18553
11-29-2022_14.59.02,18304
11-29-2022_14.59.02,18677
11-29-2022_14.59.02,18926
11-29-2022_14.59.02,18179
11-29-2022_14.59.03,18553
11-29-2022_14.59.03,19175
11-29-2022_14.59.03,17930
11-29-2022_14.59.03,18179
11-29-2022_14.59.03,18802
11-29-2022_14.59.03,18428
11-29-2022_14.59.03,18304
11-29-2022_14.59.03,18802
11-29-2022_14.59.03,18926
11-29-2022_14.59.03,18304
11-29-2022_14.59.04,18428
11-29-2022_14.59.04,19175
11-29-2022_14.59.04,18677
11-29-2022_14.59.04,18553
11-29-2022_14.59.04,19300
11-29-2022_14.59.04,19175
11-29-2022_14.59.04,18304
11-29-2022_14.59.04,18428
11-29-2022_14.59.04,18926
11-29-2022_14.59.04,18677
11-29-2022_14.59.05,18553
11-29-2022_14.59.05,19175
11-29-2022_14.59.05,18677
11-29-2022_14.59.05,18553
11-29-2022_14.59.05,19175
11-29-2022_14.59.05,18304
11-29-2022_14.59.05,18428
11-29-2022_14.59.05,18802
11-29-2022_14.59.05,18802
11-29-2022_14.59.06,18304
11-29-2022_14.59.06,18304
11-29-2022_14.59.06,19051
11-29-2022_14.59.06,18055
11-29-2022_14.59.06,18802
11-29-2022_14.59.06,19175
11-29-2022_14.59.06,18802
11-29-2022_14.59.06,18304
11-29-2022_14.59.06,18926
11-29-2022_14.59.06,19175
11-29-2022_14.59.07,18304
11-29-2022_14.59.07,18926
11-29-2022_14.59.07,19051
11-29-2022_14.59.07,18802
11-29-2022_14.59.07,18802
11-29-2022_14.59.07,19300
11-29-2022_14.59.07,22662
11-29-2022_14.59.07,24778
11-29-2022_14.59.07,17432
11-29-2022_14.59.08,18677
11-29-2022_14.59.08,18802
11-29-2022_14.59.08,19051
11-29-2022_14.59.08,18926
11-29-2022_14.59.08,19051
