Time,0x180600fd_0b0,0x180601fd_0_1,0x180601fd_2_3,0x180603fd_0_1,0x180603fd_2_3,0x180605fd_0_3,0x180605fd_4_7,0x180606fd_0_3,0x180609fd_0_3
11-29-2022_14.58.39,0,18677,847,1295,100,2042,0,0,0
11-29-2022_14.58.39,0,19175,847,1295,100,1798,0,0,0
11-29-2022_14.58.39,0,19424,845,1295,100,1798,0,0,3063
11-29-2022_14.58.39,0,18553,848,1295,100,1798,0,0,3063
11-29-2022_14.58.39,0,18802,847,1295,100,1798,0,0,3063
11-29-2022_14.58.39,0,19300,845,1295,100,1798,0,0,3063
11-29-2022_14.58.39,0,19051,846,1295,100,1798,0,0,0
11-29-2022_14.58.39,0,18179,849,1295,100,2042,0,0,0
11-29-2022_14.58.39,0,19175,846,1295,100,1798,0,0,0
11-29-2022_14.58.40,0,19424,845,1295,100,1798,0,0,0
11-29-2022_14.58.40,0,18553,848,1295,100,2042,0,0,0
11-29-2022_14.58.40,0,18926,847,1295,100,1798,0,0,0
11-29-2022_14.58.40,0,19175,846,1295,100,1793,0,0,3064
11-29-2022_14.58.40,0,18677,847,1295,100,1798,0,0,3064
11-29-2022_14.58.40,0,18428,848,1295,100,2042,0,0,3064
11-29-2022_14.58.40,0,19175,846,1295,100,1798,0,0,3064
11-29-2022_14.58.40,0,19424,844,1295,100,1798,0,0,0
11-29-2022_14.58.40,0,18677,848,1295,100,2042,0,0,0
11-29-2022_14.58.40,0,18677,847,1295,100,1798,0,0,0
11-29-2022_14.58.41,0,19424,845,1295,100,1793,0,0,0
11-29-2022_14.58.41,0,18055,850,1295,100,1798,0,0,0
11-29-2022_14.58.41,0,18553,848,1295,100,2042,0,0,0
11-29-2022_14.58.41,0,19549,844,1295,100,1793,0,0,3064
11-29-2022_14.58.41,0,18802,847,1295,100,1798,0,0,3064
11-29-2022_14.58.41,0,18802,847,1295,100,2042,0,0,3064
11-29-2022_14.58.41,0,18926,846,1295,100,1798,0,0,3064
11-29-2022_14.58.41,0,19300,845,1295,100,1793,0,0,0
11-29-2022_14.58.41,0,18428,848,1295,100,1798,0,0,0
11-29-2022_14.58.41,0,18677,847,1295,100,1798,0,0,0
11-29-2022_14.58.42,0,19673,844,1295,100,1798,0,0,0
11-29-2022_14.58.42,0,18553,848,1295,100,2042,0,0,0
