Time,cycle_puissance
11-29-2022_14.57.04,309260.1419813214
11-29-2022_14.57.04,301603.03962502466
11-29-2022_14.57.05,310987.1720423615
11-29-2022_14.57.05,316877.62076732295
11-29-2022_14.57.05,301239.02834478294
11-29-2022_14.57.05,314795.9862134082
11-29-2022_14.57.05,307173.5558799266
11-29-2022_14.57.05,305439.0861451954
11-29-2022_14.57.05,310987.19058220385
11-29-2022_14.57.05,314793.4250403836
11-29-2022_14.57.05,305065.0366997917
11-29-2022_14.57.06,311366.11852827406
11-29-2022_14.57.06,322770.03736578993
11-29-2022_14.57.06,303347.4912867143
11-29-2022_14.57.06,303347.4912867143
11-29-2022_14.57.06,315179.8855981183
11-29-2022_14.57.06,309262.68461450364
11-29-2022_14.57.06,305439.08652511024
11-29-2022_14.57.06,317264.0051956943
11-29-2022_14.57.06,318978.64306416054
11-29-2022_14.57.06,303344.9486535321
11-29-2022_14.57.07,309260.1419813214
11-29-2022_14.57.07,313073.8528129621
11-29-2022_14.57.07,313076.3779022413
11-29-2022_14.57.07,313076.3779022413
11-29-2022_14.57.07,320674.0636328949
11-29-2022_14.57.07,305439.08752104954
11-29-2022_14.57.07,305436.543891928
11-29-2022_14.57.07,315177.34296493605
11-29-2022_14.57.07,301603.0400049395
11-29-2022_14.57.08,307171.01324674435
11-29-2022_14.57.08,317264.0051956943
11-29-2022_14.57.08,313076.39644208364
11-29-2022_14.57.08,305439.08752104954
11-29-2022_14.57.08,307547.55046298093
11-29-2022_14.57.08,318981.1866932821
11-29-2022_14.57.08,301605.58363406104
11-29-2022_14.57.08,307171.01324674435
11-29-2022_14.57.08,318978.64306416054
11-29-2022_14.57.08,309260.1419813214
11-29-2022_14.57.09,307171.01324674435
11-29-2022_14.57.09,313073.83427311975
11-29-2022_14.57.09,314795.96866950515
11-29-2022_14.57.09,309262.68561044295
11-29-2022_14.57.09,314795.9872093475
11-29-2022_14.57.09,309262.68561044295
11-29-2022_14.57.09,305436.543891928
11-29-2022_14.57.09,316877.62076732295
11-29-2022_14.57.10,299508.9778828099
11-29-2022_14.58.38,307174.06380899943
11-29-2022_14.58.38,316880.67132957804
11-29-2022_14.58.38,299508.9782627247
11-29-2022_14.58.38,299508.99680256704
11-29-2022_14.58.38,308883.68151047267
11-29-2022_14.58.39,307171.01324674435
11-29-2022_14.58.39,305065.055239634
11-29-2022_14.58.39,313455.24726285116
11-29-2022_14.58.39,316880.67132957804
11-29-2022_14.58.39,303347.99921578716
11-29-2022_14.58.39,307174.06380899943
11-29-2022_14.58.39,314796.4756026387
11-29-2022_14.58.39,310987.1720423615
11-29-2022_14.58.39,297398.0474656569
11-29-2022_14.58.39,313073.83427311975
11-29-2022_14.58.40,316877.62076732295
11-29-2022_14.58.40,303344.9671933744
11-29-2022_14.58.40,309260.1419813214
11-29-2022_14.58.40,313076.8854513993
11-29-2022_14.58.40,305068.08825798606
11-29-2022_14.58.40,301239.5558096374
11-29-2022_14.58.40,313076.88583131414
