Time,sous_cycle_1
11-29-2022_14.58.38,8156.154063502077
11-29-2022_14.58.38,8406.076545111026
11-29-2022_14.58.38,7958.874551239831
11-29-2022_14.58.38,7958.874551239831
11-29-2022_14.58.38,8200.251282503223
11-29-2022_14.58.39,8156.154063502077
11-29-2022_14.58.39,8101.930084247862
11-29-2022_14.58.39,8317.958417596656
11-29-2022_14.58.39,8406.076545111026
11-29-2022_14.58.39,8057.641832951442
11-29-2022_14.58.39,8156.154063502077
11-29-2022_14.58.39,8352.413371120409
11-29-2022_14.58.39,8254.411242891732
11-29-2022_14.58.39,7904.5225342542
11-29-2022_14.58.39,8308.137923597133
11-29-2022_14.58.40,8406.076545111026
11-29-2022_14.58.40,8057.641832951442
11-29-2022_14.58.40,8209.944250922259
11-29-2022_14.58.40,8308.137923597133
11-29-2022_14.58.40,8101.930084247862
11-29-2022_14.58.40,8003.3538348315205
11-29-2022_14.58.40,8308.137923597133
11-29-2022_14.58.40,8396.128525531014
11-29-2022_14.58.40,8111.4955270864075
11-29-2022_14.58.40,8101.930084247862
11-29-2022_14.58.41,8406.076545111026
11-29-2022_14.58.41,7859.8522183672385
11-29-2022_14.58.41,8057.641832951442
11-29-2022_14.58.41,8450.160448188108
11-29-2022_14.58.41,8156.154063502077
11-29-2022_14.58.41,8156.154063502077
11-29-2022_14.58.41,8200.251282503223
11-29-2022_14.58.41,8352.413371120409
11-29-2022_14.58.41,8003.3538348315205
11-29-2022_14.58.41,8101.930084247862
11-29-2022_14.58.42,8503.760115463943
11-29-2022_14.58.42,8057.641832951442
11-29-2022_14.58.42,8156.154063502077
11-29-2022_14.58.42,8254.411242891732
11-29-2022_14.58.42,8308.137923597133
11-29-2022_14.58.42,8111.4955270864075
11-29-2022_14.58.42,8209.944250922259
11-29-2022_14.58.42,8503.760115463943
11-29-2022_14.58.42,8111.4955270864075
11-29-2022_14.58.42,8165.7835252063305
11-29-2022_14.58.43,8406.076545111026
11-29-2022_14.58.43,8308.137923597133
11-29-2022_14.58.43,8012.791752089576
