Puissance,recuperation,duree
309261.15783946705, ,0.1
305436.543891928, ,0.1
313076.3934542656, ,0.1
309262.6826226249, ,0.1
307173.55388804787, ,0.1
303347.50783467793, ,0.1
314795.9656816871, ,0.1
297398.0285458997, ,0.1
309260.1419813214, ,0.1
316877.6393071653, ,0.1
307171.01324674435, ,0.1
305436.543891928, ,0.1
310989.7312235074, ,0.1
307173.55388804787, ,0.1
301239.0263529042, ,0.1
305439.0845332315, ,0.1
312694.9804645341, ,0.1
303344.9486535321, ,0.1
303344.9486535321, ,0.1
314793.4435802259, ,0.1
307171.01324674435, ,0.1
301236.4857116007, ,0.1
310989.71268366504, ,0.1
301239.0263529042, ,0.1
305439.0845332315, ,0.1
316880.1799484688, ,0.1
303344.9486535321, ,0.1
297398.0285458997, ,0.1
308883.70043022983, ,0.1
314793.4250403836, ,0.1
297398.0285458997, ,0.1
301239.0458886859, ,0.1
305067.57833703456, ,0.1
307173.55488398724, ,0.1
313076.39445020497, ,0.1
310987.1720423615, ,0.1
303344.9486535321, ,0.1
311366.11852827406, ,0.1
314793.4435802259, ,0.1
299508.9778828099, ,0.1
305067.5968768769, ,0.1
307173.55488398724, ,0.1
305067.57833703456, ,0.1
313076.37591036264, ,0.1
313073.83427311975, ,0.1
299508.9778828099, ,0.1
305065.0366997917, ,0.1
314793.4435802259, ,0.1
313073.8528129621, ,0.1
309262.6836185643, ,0.1
315179.88460217894, ,0.1
313076.37591036264, ,0.1
297400.5701831426, ,0.1
307173.55488398724, ,0.1
314793.4435802259, ,0.1
303344.9671933744, ,0.1
305436.543891928, ,0.1
313073.8528129621, ,0.1
309260.1419813214, ,0.1
301605.5822582069, ,0.1
307173.5558799266, ,0.1
314795.9862134082, ,0.1
303347.4912867143, ,0.1
309262.68461450364, ,0.1
314793.4435802259, ,0.1
309260.1419813214, ,0.1
301603.03962502466, ,0.1
310987.1720423615, ,0.1
316877.62076732295, ,0.1
301239.02834478294, ,0.1
314795.9862134082, ,0.1
307173.5558799266, ,0.1
305439.0861451954, ,0.1
310987.19058220385, ,0.1
314793.4250403836, ,0.1
305065.0366997917, ,0.1
311366.11852827406, ,0.1
322770.03736578993, ,0.1
303347.4912867143, ,0.1
303347.4912867143, ,0.1
315179.8855981183, ,0.1
309262.68461450364, ,0.1
305439.08652511024, ,0.1
317264.0051956943, ,0.1
318978.64306416054, ,0.1
303344.9486535321, ,0.1
309260.1419813214, ,0.1
313073.8528129621, ,0.1
313076.3779022413, ,0.1
313076.3779022413, ,0.1
320674.0636328949, ,0.1
305439.08752104954, ,0.1
305436.543891928, ,0.1
315177.34296493605, ,0.1
301603.0400049395, ,0.1
307171.01324674435, ,0.1
317264.0051956943, ,0.1
313076.39644208364, ,0.1
305439.08752104954, ,0.1
307547.55046298093, ,0.1
318981.1866932821, ,0.1
301605.58363406104, ,0.1
307171.01324674435, ,0.1
318978.64306416054, ,0.1
309260.1419813214, ,0.1
307171.01324674435, ,0.1
313073.83427311975, ,0.1
314795.96866950515, ,0.1
309262.68561044295, ,0.1
314795.9872093475, ,0.1
309262.68561044295, ,0.1
305436.543891928, ,0.1
316877.62076732295, ,0.1
299508.9778828099, ,0.1
307174.06380899943, ,0.1
316880.67132957804, ,0.1
299508.9782627247, ,0.1
299508.99680256704, ,0.1
308883.68151047267, ,0.1
307171.01324674435, ,0.1
305065.055239634, ,0.1
313455.24726285116, ,0.1
316880.67132957804, ,0.1
303347.99921578716, ,0.1
307174.06380899943, ,0.1
314796.4756026387, ,0.1
310987.1720423615, ,0.1
297398.0474656569, ,0.1
313073.83427311975, ,0.1
316877.62076732295, ,0.1
303344.9671933744, ,0.1
309260.1419813214, ,0.1
313076.8854513993, ,0.1
305068.08825798606, ,0.1
301239.5558096374, ,0.1
313076.88583131414, ,0.1
316491.2548787939, ,0.1
305436.5624317703, ,0.1
305065.0366997917, ,0.1
316877.6203874081, ,0.1
295663.1020743221, ,0.1
303344.9671933744, ,0.1
318592.82341909007, ,0.1
307174.06480493874, ,0.1
307174.0833447811, ,0.1
