Puissance,recuperation,duree
8209.944250922259, ,0.4
8156.154063502077, ,0.4
8209.944250922259, ,0.4
8254.411242891732, ,0.4
8298.317429597608, ,0.4
8156.154063502077, ,0.4
8111.4955270864075, ,0.4
8200.251282503223, ,0.4
8101.930084247862, ,0.4
8057.641832951442, ,0.4
8101.930084247862, ,0.4
8308.137923597133, ,0.4
8308.137923597133, ,0.4
7904.5225342542, ,0.4
8111.4955270864075, ,0.4
8156.154063502077, ,0.4
8352.413371120409, ,0.4
8406.076545111026, ,0.4
8111.4955270864075, ,0.4
8264.168230176474, ,0.4
8362.297883985639, ,0.4
8460.172486633826, ,0.4
8308.137923597133, ,0.4
8111.4955270864075, ,0.4
8416.024564691039, ,0.4
8460.172486633826, ,0.4
8209.944250922259, ,0.4
8209.944250922259, ,0.4
8406.076545111026, ,0.4
7958.874551239831, ,0.4
8101.930084247862, ,0.4
8156.154063502077, ,0.4
8308.137923597133, ,0.4
8308.137923597133, ,0.4
8396.128525531014, ,0.4
7859.8522183672385, ,0.4
8156.154063502077, ,0.4
8101.930084247862, ,0.4
8254.411242891732, ,0.4
8503.760115463943, ,0.4
8308.137923597133, ,0.4
8057.641832951442, ,0.4
8111.4955270864075, ,0.4
8209.944250922259, ,0.4
8200.251282503223, ,0.4
8352.413371120409, ,0.4
8200.251282503223, ,0.4
8003.3538348315205, ,0.4
8057.641832951442, ,0.4
8111.4955270864075, ,0.4
8308.137923597133, ,0.4
8406.076545111026, ,0.4
7958.874551239831, ,0.4
8057.641832951442, ,0.4
8012.791752089576, ,0.4
8416.024564691039, ,0.4
8200.251282503223, ,0.4
8406.076545111026, ,0.4
7958.874551239831, ,0.4
8111.4955270864075, ,0.4
8111.4955270864075, ,0.4
8209.944250922259, ,0.4
8460.172486633826, ,0.4
8406.076545111026, ,0.4
8111.4955270864075, ,0.4
8057.641832951442, ,0.4
8012.791752089576, ,0.4
8254.411242891732, ,0.4
8254.411242891732, ,0.4
8146.524601797824, ,0.4
7958.874551239831, ,0.4
8057.641832951442, ,0.4
8057.641832951442, ,0.4
8254.411242891732, ,0.4
8352.413371120409, ,0.4
8156.154063502077, ,0.4
8012.791752089576, ,0.4
8111.4955270864075, ,0.4
8111.4955270864075, ,0.4
8264.168230176474, ,0.4
8406.076545111026, ,0.4
8156.154063502077, ,0.4
7760.574834333672, ,0.4
8665.423628053966, ,0.4
10634.283382963658, ,0.4
9399.47111236862, ,0.4
8268.102061436466, ,0.4
8140.191855602043, ,0.4
7913.832925931767, ,0.4
8101.930084247862, ,0.4
8298.317429597608, ,0.4
7993.915917573463, ,0.4
7949.500140696557, ,0.4
8048.139896827679, ,0.4
8003.3538348315205, ,0.4
8308.137923597133, ,0.4
7949.500140696557, ,0.4
7949.500140696557, ,0.4
8156.154063502077, ,0.4
8200.251282503223, ,0.4
8254.411242891732, ,0.4
9691.314171544664, ,0.4
8185.042448614836, ,0.4
8513.835660624447, ,0.4
8012.791752089576, ,0.4
8264.168230176474, ,0.4
8406.076545111026, ,0.4
7958.874551239831, ,0.4
8165.7835252063305, ,0.4
8057.641832951442, ,0.4
8209.944250922259, ,0.4
8156.154063502077, ,0.4
8111.4955270864075, ,0.4
8219.637219341294, ,0.4
8308.137923597133, ,0.4
8460.172486633826, ,0.4
8209.944250922259, ,0.4
8057.641832951442, ,0.4
8057.641832951442, ,0.4
8101.930084247862, ,0.4
8406.076545111026, ,0.4
8352.413371120409, ,0.4
8057.641832951442, ,0.4
8156.154063502077, ,0.4
8254.411242891732, ,0.4
8111.4955270864075, ,0.4
8308.137923597133, ,0.4
8352.413371120409, ,0.4
8450.160448188108, ,0.4
8003.3538348315205, ,0.4
8111.4955270864075, ,0.4
8111.4955270864075, ,0.4
8264.168230176474, ,0.4
8406.076545111026, ,0.4
8209.944250922259, ,0.4
8057.641832951442, ,0.4
8254.411242891732, ,0.4
8406.076545111026, ,0.4
8057.641832951442, ,0.4
8111.4955270864075, ,0.4
8111.4955270864075, ,0.4
8254.411242891732, ,0.4
7904.5225342542, ,0.4
8254.411242891732, ,0.4
7958.874551239831, ,0.4
8057.641832951442, ,0.4
8165.7835252063305, ,0.4
8352.413371120409, ,0.4
8101.930084247862, ,0.4
7949.500140696557, ,0.4
8352.413371120409, ,0.4
8352.413371120409, ,0.4
7904.5225342542, ,0.4
8057.641832951442, ,0.4
7949.500140696557, ,0.4
8156.154063502077, ,0.4
8352.413371120409, ,0.4
8244.65425560699, ,0.4
7949.500140696557, ,0.4
8003.3538348315205, ,0.4
8156.154063502077, ,0.4
8254.411242891732, ,0.4
8352.413371120409, ,0.4
8352.413371120409, ,0.4
7958.874551239831, ,0.4
7958.874551239831, ,0.4
8057.641832951442, ,0.4
8352.413371120409, ,0.4
8101.930084247862, ,0.4
