Time,sous_cycle_1
11-29-2022_14.57.09,8048.248239880273
11-29-2022_14.57.09,8340.532338651192
11-29-2022_14.57.10,7896.8172865962215
11-29-2022_14.58.38,8092.558562915383
11-29-2022_14.58.38,8340.532338651192
11-29-2022_14.58.38,7896.8172865962215
11-29-2022_14.58.38,7896.8172865962215
11-29-2022_14.58.38,8136.311945263246
11-29-2022_14.58.39,8092.558562915383
11-29-2022_14.58.39,8038.75738110683
11-29-2022_14.58.39,8253.101289432107
11-29-2022_14.58.39,8340.532338651192
11-29-2022_14.58.39,7994.8144559885795
11-29-2022_14.58.39,8092.558562915383
11-29-2022_14.58.39,8287.287589372323
11-29-2022_14.58.39,8190.049607376631
11-29-2022_14.58.39,7842.889065397329
11-29-2022_14.58.39,8243.357368193107
11-29-2022_14.58.40,8340.532338651192
11-29-2022_14.58.40,7994.8144559885795
11-29-2022_14.58.40,8145.929335269468
11-29-2022_14.58.40,8243.357368193107
11-29-2022_14.58.40,8038.75738110683
11-29-2022_14.58.40,7940.949754484856
11-29-2022_14.58.40,8243.357368193107
11-29-2022_14.58.40,8330.661886179416
11-29-2022_14.58.40,8048.248239880273
11-29-2022_14.58.40,8038.75738110683
11-29-2022_14.58.41,8340.532338651192
11-29-2022_14.58.41,7798.567054738308
11-29-2022_14.58.41,7994.8144559885795
11-29-2022_14.58.41,8384.27250890246
11-29-2022_14.58.41,8092.558562915383
11-29-2022_14.58.41,8092.558562915383
11-29-2022_14.58.41,8136.311945263246
11-29-2022_14.58.41,8287.287589372323
11-29-2022_14.58.41,7940.949754484856
11-29-2022_14.58.41,8038.75738110683
11-29-2022_14.58.42,8437.454246643721
11-29-2022_14.58.42,7994.8144559885795
11-29-2022_14.58.42,8092.558562915383
11-29-2022_14.58.42,8190.049607376631
11-29-2022_14.58.42,8243.357368193107
11-29-2022_14.58.42,8048.248239880273
11-29-2022_14.58.42,8145.929335269468
11-29-2022_14.58.42,8437.454246643721
11-29-2022_14.58.42,8048.248239880273
11-29-2022_14.58.42,8102.112941383996
11-29-2022_14.58.43,8340.532338651192
11-29-2022_14.58.43,8243.357368193107
11-29-2022_14.58.43,7950.314082025523
11-29-2022_14.58.43,8145.929335269468
11-29-2022_14.58.43,8394.206481069406
11-29-2022_14.58.43,7994.8144559885795
11-29-2022_14.58.43,8102.112941383996
11-29-2022_14.58.43,8394.206481069406
11-29-2022_14.58.43,8048.248239880273
11-29-2022_14.58.43,8048.248239880273
11-29-2022_14.58.44,8190.049607376631
11-29-2022_14.58.44,8340.532338651192
11-29-2022_14.58.44,8048.248239880273
11-29-2022_14.58.44,8145.929335269468
11-29-2022_14.58.44,8287.287589372323
11-29-2022_14.58.44,7842.889065397329
11-29-2022_14.58.44,7950.314082025523
11-29-2022_14.58.44,8136.311945263246
11-29-2022_14.58.44,8190.049607376631
11-29-2022_14.58.44,8048.248239880273
11-29-2022_14.58.45,8199.730517078022
11-29-2022_14.58.45,8287.287589372323
11-29-2022_14.58.45,7896.8172865962215
11-29-2022_14.58.45,7842.889065397329
11-29-2022_14.58.45,8233.613446954108
11-29-2022_14.58.45,8136.311945263246
11-29-2022_14.58.45,8092.558562915383
11-29-2022_14.58.45,8243.357368193107
11-29-2022_14.58.45,8287.287589372323
11-29-2022_14.58.45,7940.949754484856
11-29-2022_14.58.46,7994.8144559885795
11-29-2022_14.58.46,8287.287589372323
11-29-2022_14.58.46,8136.311945263246
11-29-2022_14.58.46,7994.8144559885795
11-29-2022_14.58.46,8190.049607376631
11-29-2022_14.58.46,8233.613446954108
11-29-2022_14.58.46,7994.8144559885795
11-29-2022_14.58.46,8048.248239880273
11-29-2022_14.58.46,8287.287589372323
11-29-2022_14.58.46,8038.75738110683
11-29-2022_14.58.47,8102.112941383996
11-29-2022_14.58.47,8243.357368193107
11-29-2022_14.58.47,8190.049607376631
11-29-2022_14.58.47,7950.314082025523
11-29-2022_14.58.47,7994.8144559885795
11-29-2022_14.58.47,8340.532338651192
11-29-2022_14.58.47,8048.248239880273
11-29-2022_14.58.47,8199.730517078022
11-29-2022_14.58.47,8394.206481069406
11-29-2022_14.58.47,7896.8172865962215
11-29-2022_14.58.47,7950.314082025523
11-29-2022_14.58.48,8190.049607376631
11-29-2022_14.58.48,8092.558562915383
11-29-2022_14.58.48,7994.8144559885795
11-29-2022_14.58.48,8199.730517078022
11-29-2022_14.58.48,8287.287589372323
11-29-2022_14.58.48,7950.314082025523
11-29-2022_14.58.48,7950.314082025523
11-29-2022_14.58.48,8287.287589372323
11-29-2022_14.58.48,8092.558562915383
11-29-2022_14.58.48,8092.558562915383
11-29-2022_14.58.49,8350.402791122968
11-29-2022_14.58.49,8287.287589372323
11-29-2022_14.58.49,7994.8144559885795
11-29-2022_14.58.49,7994.8144559885795
11-29-2022_14.58.49,8136.311945263246
11-29-2022_14.58.49,8136.311945263246
11-29-2022_14.58.49,8102.112941383996
11-29-2022_14.58.49,8297.095030306491
11-29-2022_14.58.49,8340.532338651192
11-29-2022_14.58.49,7994.8144559885795
11-29-2022_14.58.50,7994.8144559885795
11-29-2022_14.58.50,8243.357368193107
11-29-2022_14.58.50,7896.8172865962215
11-29-2022_14.58.50,8092.558562915383
11-29-2022_14.58.50,8340.532338651192
11-29-2022_14.58.50,8092.558562915383
11-29-2022_14.58.50,8048.248239880273
11-29-2022_14.58.50,8243.357368193107
11-29-2022_14.58.50,8287.287589372323
11-29-2022_14.58.50,7994.8144559885795
11-29-2022_14.58.51,8048.248239880273
11-29-2022_14.58.51,8340.532338651192
11-29-2022_14.58.51,8243.357368193107
11-29-2022_14.58.51,8092.558562915383
11-29-2022_14.58.51,8145.929335269468
11-29-2022_14.58.51,8287.287589372323
11-29-2022_14.58.51,7994.8144559885795
11-29-2022_14.58.51,8092.558562915383
11-29-2022_14.58.51,8394.206481069406
11-29-2022_14.58.51,8243.357368193107
11-29-2022_14.58.52,7950.314082025523
11-29-2022_14.58.52,8145.929335269468
11-29-2022_14.58.52,8340.532338651192
11-29-2022_14.58.52,7842.889065397329
11-29-2022_14.58.52,8145.929335269468
11-29-2022_14.58.52,8340.532338651192
11-29-2022_14.58.52,8048.248239880273
11-29-2022_14.58.52,7994.8144559885795
11-29-2022_14.58.52,8190.049607376631
11-29-2022_14.58.52,8243.357368193107
11-29-2022_14.58.53,7994.8144559885795
11-29-2022_14.58.53,8145.929335269468
11-29-2022_14.58.53,8287.287589372323
11-29-2022_14.58.53,8102.112941383996
11-29-2022_14.58.53,7950.314082025523
11-29-2022_14.58.53,8190.049607376631
11-29-2022_14.58.53,8048.248239880273
11-29-2022_14.58.53,7798.567054738308
11-29-2022_14.58.53,8190.049607376631
11-29-2022_14.58.53,8287.287589372323
11-29-2022_14.58.54,7789.392269968028
11-29-2022_14.58.54,8092.558562915383
11-29-2022_14.58.54,8190.049607376631
11-29-2022_14.58.54,8136.311945263246
11-29-2022_14.58.54,8048.248239880273
11-29-2022_14.58.54,8190.049607376631
11-29-2022_14.58.54,8083.00418444677
11-29-2022_14.58.54,7940.949754484856
11-29-2022_14.58.54,8038.75738110683
11-29-2022_14.58.54,8330.661886179416
11-29-2022_14.58.55,7896.8172865962215
11-29-2022_14.58.55,8038.75738110683
11-29-2022_14.58.55,8233.613446954108
11-29-2022_14.58.55,8190.049607376631
11-29-2022_14.58.55,7994.8144559885795
11-29-2022_14.58.55,8297.095030306491
11-29-2022_14.58.55,8340.532338651192
11-29-2022_14.58.55,8048.248239880273
11-29-2022_14.58.55,7994.8144559885795
11-29-2022_14.58.55,8340.532338651192
11-29-2022_14.58.56,8190.049607376631
