Time,sous_cycle_1,sous_cycle_2,sous_cycle_3,sous_cycle_4
11-29-2022_14.52.14,318861.6970210135,-9601.69165705498,0.13661736288397047,1.015858145660417
11-29-2022_14.56.58,315038.0989316201,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.58,322675.38931281184,-9601.69165705498,0.15515720523307439,2.5406413035095334
11-29-2022_14.56.58,318861.6970210135,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.58,316772.56828643644,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.58,312946.50369322416,-9601.69165705498,0.15515720523307439,2.5406413035095334
11-29-2022_14.56.58,324394.9800800757,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.58,306999.58396550664,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.56.58,318861.6970210135,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.58,326479.17580701504,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.56.59,316772.56828643644,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.59,315038.0989316201,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.59,320588.7270820536,-9601.69165705498,0.15515720523307439,2.5406413035095334
11-29-2022_14.56.59,316772.56828643644,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.59,310838.0407512928,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.59,315038.0989316201,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.56.59,322293.9763230803,-9601.69165705498,0.15515720523307439,2.5406413035095334
11-29-2022_14.56.59,312946.50369322416,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.59,312946.50369322416,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.56.59,324394.9800800757,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.00,316772.56828643644,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.00,310838.0407512928,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.00,320588.7270820536,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.57.00,310838.0407512928,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.57.00,315038.0989316201,-9601.69165705498,0.13661736288397047,2.5406413035095334
11-29-2022_14.57.00,326479.17580701504,-9601.69165705498,0.15515720523307439,2.5406413035095334
11-29-2022_14.57.00,312946.50369322416,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.00,306999.58396550664,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.57.00,318485.2369300796,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.01,324394.9800800757,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.01,306999.58396550664,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.57.01,310838.0407512928,-9601.69165705498,0.15515720523307439,2.541637242868024
11-29-2022_14.57.01,314666.59173948376,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.01,316772.56828643644,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.01,322675.38931281184,-9601.69165705498,0.15515720523307439,2.541637242868024
11-29-2022_14.57.01,320588.7270820536,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.01,312946.50369322416,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.01,320967.67356796615,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.02,324394.9800800757,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.02,309110.5333024168,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.57.02,314666.59173948376,-9601.69165705498,0.15515720523307439,2.541637242868024
11-29-2022_14.57.02,316772.56828643644,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.02,314666.59173948376,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.02,322675.38931281184,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.02,322675.38931281184,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.02,309110.5333024168,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.57.02,314666.59173948376,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.03,324394.9800800757,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.03,322675.38931281184,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.03,318861.6970210135,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.03,324778.8794647858,-9601.69165705498,0.15515720523307439,2.541637242868024
11-29-2022_14.57.03,322675.38931281184,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.03,306999.58396550664,-9601.69165705498,0.13623744808173474,2.541637242868024
11-29-2022_14.57.03,316772.56828643644,-9601.69165705498,0.13661736288397047,2.541637242868024
11-29-2022_14.57.03,324394.9800800757,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.03,312946.50369322416,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.03,315038.0989316201,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.04,322675.38931281184,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.04,318861.6970210135,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.04,311204.59504463157,-9601.69165705498,0.13623744808173474,2.5426331822265147
11-29-2022_14.57.04,316772.56828643644,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.04,324394.9800800757,-9601.69165705498,0.15515720523307439,2.5426331822265147
11-29-2022_14.57.04,312946.50369322416,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.04,318861.6970210135,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.04,324394.9800800757,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.04,318861.6970210135,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.04,311204.59504463157,-9601.69165705498,0.13623744808173474,0.0
11-29-2022_14.57.05,320588.7270820536,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.05,326479.17580701504,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.05,310838.0407512928,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.05,324394.9800800757,-9601.69165705498,0.15515720523307439,2.5426331822265147
11-29-2022_14.57.05,316772.56828643644,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.05,315038.0989316201,-9601.69165705498,0.13623744808173474,2.5426331822265147
11-29-2022_14.57.05,320588.7270820536,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.05,324394.9800800757,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.05,314666.59173948376,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.06,320967.67356796615,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.06,332371.5738656397,-9601.69165705498,0.15515720523307439,0.0
