Time,0x180600fd_0b0,0x180601fd_4_5
11-15-2022_21.07.04,0,13169
11-15-2022_21.07.04,0,13378
11-15-2022_21.07.05,0,13567
11-15-2022_21.07.05,0,13637
11-15-2022_21.07.05,0,13856
11-15-2022_21.07.05,0,14035
11-15-2022_21.07.05,0,14245
11-15-2022_21.07.05,0,14613
11-15-2022_21.07.05,0,14753
11-15-2022_21.07.05,0,15022
11-15-2022_21.07.05,0,15022
11-15-2022_21.07.05,0,15201
11-15-2022_21.07.06,0,15390
11-15-2022_21.07.06,0,15769
11-15-2022_21.07.06,0,16127
11-15-2022_21.07.06,0,16446
11-15-2022_21.07.06,0,16655
11-15-2022_21.07.06,0,17004
11-15-2022_21.07.06,0,17263
11-15-2022_21.07.06,0,17880
11-15-2022_21.07.06,0,17801
11-15-2022_21.07.06,0,17860
11-15-2022_21.07.07,0,17870
11-15-2022_21.07.07,0,18787
11-15-2022_21.07.07,0,19414
11-15-2022_21.07.07,0,19962
11-15-2022_21.07.07,0,20301
11-15-2022_21.07.07,0,20998
11-15-2022_21.07.07,0,21685
11-15-2022_21.07.07,0,22273
11-15-2022_21.07.07,0,22911
11-15-2022_21.07.07,1,23080
11-15-2022_21.07.08,1,23150
11-15-2022_21.07.08,1,23309
11-15-2022_21.07.08,1,23648
11-15-2022_21.07.08,1,23797
11-15-2022_21.07.08,1,24305
11-15-2022_21.07.08,1,24534
11-15-2022_21.07.08,1,25052
11-15-2022_21.07.08,1,25132
11-15-2022_21.07.08,1,25072
11-15-2022_21.07.08,1,25052
11-15-2022_21.07.09,1,25072
11-15-2022_21.07.09,1,25032
11-15-2022_21.07.09,1,25132
11-15-2022_21.07.09,1,24992
11-15-2022_21.07.09,1,25102
11-15-2022_21.07.09,1,25022
11-15-2022_21.07.09,1,25102
11-15-2022_21.07.09,1,25082
11-15-2022_21.07.09,1,25142
11-15-2022_21.07.09,0,25062
11-15-2022_21.07.10,0,25102
11-15-2022_21.07.10,0,24953
11-15-2022_21.07.10,0,25042
11-15-2022_21.07.10,0,25042
11-15-2022_21.07.10,0,25052
11-15-2022_21.07.10,0,24484
11-15-2022_21.07.10,0,23747
11-15-2022_21.07.10,0,23040
11-15-2022_21.07.10,0,22104
11-15-2022_21.07.10,0,21596
11-15-2022_21.07.11,0,20829
11-15-2022_21.07.11,0,20381
11-15-2022_21.07.11,0,19614
11-15-2022_21.07.11,0,18857
11-15-2022_21.07.11,0,18528
11-15-2022_21.07.11,0,18359
11-15-2022_21.07.11,1,18080
11-15-2022_21.07.11,1,17960
11-15-2022_21.07.11,1,17781
11-15-2022_21.07.11,1,17711
11-15-2022_21.07.12,0,17532
11-15-2022_21.07.12,0,17293
11-15-2022_21.07.12,0,16974
11-15-2022_21.07.12,0,16635
11-15-2022_21.07.12,0,16436
11-15-2022_21.07.12,0,16376
11-15-2022_21.07.12,0,16077
11-15-2022_21.07.12,0,15699
11-15-2022_21.07.12,0,15410
11-15-2022_21.07.12,0,14962
11-15-2022_21.07.13,0,14693
11-15-2022_21.07.13,1,14454
11-15-2022_21.07.13,1,14145
11-15-2022_21.07.13,1,13846
11-15-2022_21.07.13,1,13796
11-15-2022_21.07.13,0,13587
11-15-2022_21.07.13,0,13567
11-15-2022_21.07.13,0,13428
11-15-2022_21.07.13,0,13348
11-15-2022_21.07.13,0,13229
11-15-2022_21.07.14,0,12970
11-15-2022_21.07.14,0,12731
11-15-2022_21.07.14,0,12482
11-15-2022_21.07.14,0,12233
11-15-2022_21.07.14,0,11914
11-15-2022_21.07.14,0,11545
11-15-2022_21.07.14,1,11316
11-15-2022_21.07.14,1,11057
11-15-2022_21.07.14,1,10738
11-15-2022_21.07.14,1,10420
11-15-2022_21.07.15,1,10310
11-15-2022_21.07.15,1,10280
11-15-2022_21.07.15,0,10240
11-15-2022_21.07.15,0,10051
11-15-2022_21.07.15,0,9822
11-15-2022_21.07.15,0,9633
11-15-2022_21.07.15,0,9453
11-15-2022_21.07.15,0,9344
11-15-2022_21.07.15,0,9354
11-15-2022_21.07.15,0,9244
11-15-2022_21.07.16,0,8925
11-15-2022_21.07.16,0,8716
11-15-2022_21.07.16,0,8657
11-15-2022_21.07.16,0,8378
11-15-2022_21.07.16,0,8238
11-15-2022_21.07.16,0,8168
11-15-2022_21.07.16,0,8119
11-15-2022_21.07.16,1,8029
11-15-2022_21.07.16,1,7939
11-15-2022_21.07.16,1,7850
11-15-2022_21.07.17,1,7760
11-15-2022_21.07.17,1,7760
11-15-2022_21.07.17,0,7710
11-15-2022_21.07.17,0,7631
11-15-2022_21.07.17,0,7521
11-15-2022_21.07.17,0,7471
11-15-2022_21.07.17,0,7421
11-15-2022_21.07.17,0,7352
11-15-2022_21.07.17,0,7332
11-15-2022_21.07.17,0,7252
11-15-2022_21.07.18,0,7232
11-15-2022_21.07.18,0,7192
11-15-2022_21.07.18,0,7142
11-15-2022_21.07.18,0,7093
11-15-2022_21.07.18,0,7053
11-15-2022_21.07.18,0,7063
11-15-2022_21.07.18,1,6993
11-15-2022_21.07.18,1,7003
11-15-2022_21.07.18,1,7013
11-15-2022_21.07.18,1,6973
11-15-2022_21.07.19,1,6943
11-15-2022_21.07.19,0,6933
11-15-2022_21.07.19,0,6903
11-15-2022_21.07.19,0,6864
11-15-2022_21.07.19,0,6824
11-15-2022_21.07.19,0,6744
11-15-2022_21.07.19,0,6714
11-15-2022_21.07.19,0,6654
11-15-2022_21.07.19,0,6565
11-15-2022_21.07.19,0,6465
11-15-2022_21.07.20,0,6415
11-15-2022_21.07.20,0,6366
11-15-2022_21.07.20,0,6296
11-15-2022_21.07.20,1,6266
11-15-2022_21.07.20,1,6166
11-15-2022_21.07.20,1,6067
11-15-2022_21.07.20,1,5917
11-15-2022_21.07.20,1,5818
11-15-2022_21.07.20,0,5688
11-15-2022_21.07.20,0,5599
11-15-2022_21.07.21,0,5409
11-15-2022_21.07.21,0,4931
11-15-2022_21.07.21,0,4373
11-15-2022_21.07.21,0,3776
11-15-2022_21.07.21,0,3288
11-15-2022_21.07.21,0,2740
11-15-2022_21.07.21,0,2620
11-15-2022_21.07.21,0,2660
11-15-2022_21.07.21,0,2650
11-15-2022_21.07.21,0,2640
11-15-2022_21.07.22,1,2650
11-15-2022_21.07.22,1,2660
11-15-2022_21.07.22,1,2650
11-15-2022_21.07.22,1,2630
11-15-2022_21.07.22,0,2650
11-15-2022_21.07.22,0,2640
11-15-2022_21.07.22,0,2660
11-15-2022_21.07.22,0,2640
11-15-2022_21.07.22,0,2640
11-15-2022_21.07.22,0,2640
11-15-2022_21.07.23,0,2660
11-15-2022_21.07.23,0,2640
11-15-2022_21.07.23,0,2660
11-15-2022_21.07.23,0,3068
11-15-2022_21.07.23,0,3686
11-15-2022_21.07.23,0,5748
11-15-2022_21.07.23,0,6983
11-15-2022_21.07.23,0,7023
11-15-2022_21.07.23,0,7053
11-15-2022_21.07.23,0,7033
11-15-2022_21.07.24,0,7053
11-15-2022_21.07.24,0,7003
11-15-2022_21.07.24,1,7013
11-15-2022_21.07.24,1,7023
11-15-2022_21.07.24,1,7033
11-15-2022_21.07.24,1,7013
11-15-2022_21.07.24,1,7033
11-15-2022_21.07.24,1,7023
11-15-2022_21.07.24,0,7003
11-15-2022_21.07.24,0,7043
11-15-2022_21.07.25,0,7003
11-15-2022_21.07.25,0,7013
11-15-2022_21.07.25,0,7023
11-15-2022_21.07.25,0,7003
11-15-2022_21.07.25,0,7043
11-15-2022_21.07.25,0,7033
11-15-2022_21.07.25,0,7023
11-15-2022_21.07.25,0,7033
11-15-2022_21.07.25,0,6993
11-15-2022_21.07.25,1,7023
11-15-2022_21.07.26,1,7023
11-15-2022_21.07.26,1,7013
11-15-2022_21.07.26,1,7013
11-15-2022_21.07.26,1,7043
11-15-2022_21.07.26,0,7033
11-15-2022_21.07.26,0,7043
11-15-2022_21.07.26,0,7043
11-15-2022_21.07.26,0,7033
11-15-2022_21.07.26,0,7063
11-15-2022_21.07.26,0,7033
11-15-2022_21.07.27,0,7023
11-15-2022_21.07.27,0,7033
11-15-2022_21.07.27,0,7013
11-15-2022_21.07.27,0,7033
11-15-2022_21.07.27,0,7003
11-15-2022_21.07.27,0,7023
11-15-2022_21.07.27,0,7013
11-15-2022_21.07.27,0,7023
11-15-2022_21.07.27,0,7023
11-15-2022_21.07.27,0,7003
11-15-2022_21.07.28,0,7083
11-15-2022_21.07.28,0,7650
11-15-2022_21.07.28,0,8427
11-15-2022_21.07.28,0,9125
11-15-2022_21.07.28,0,10699
11-15-2022_21.07.28,0,11784
11-15-2022_21.07.28,0,12960
11-15-2022_21.07.28,0,14125
11-15-2022_21.07.28,0,14294
11-15-2022_21.07.28,0,14424
11-15-2022_21.07.29,0,14404
11-15-2022_21.07.29,0,14474
11-15-2022_21.07.29,0,14404
11-15-2022_21.07.29,0,14404
11-15-2022_21.07.29,0,14344
11-15-2022_21.07.29,0,14434
11-15-2022_21.07.29,0,14384
11-15-2022_21.07.29,0,13478
11-15-2022_21.07.29,0,12133
11-15-2022_21.07.29,0,11037
11-15-2022_21.07.30,0,10001
11-15-2022_21.07.30,0,9513
11-15-2022_21.07.30,0,9463
11-15-2022_21.07.30,0,9404
11-15-2022_21.07.30,0,9453
11-15-2022_21.07.30,0,9463
11-15-2022_21.07.30,0,10021
11-15-2022_21.07.30,0,12083
11-15-2022_21.07.30,0,14245
11-15-2022_21.07.30,0,16416
11-15-2022_21.07.31,0,18578
11-15-2022_21.07.31,0,21128
11-15-2022_21.07.31,0,24186
11-15-2022_21.07.31,0,25042
11-15-2022_21.07.31,0,25162
11-15-2022_21.07.31,0,25052
11-15-2022_21.07.31,0,25052
11-15-2022_21.07.31,0,25072
11-15-2022_21.07.31,0,25102
11-15-2022_21.07.31,0,25042
11-15-2022_21.07.32,0,25062
11-15-2022_21.07.32,0,25062
11-15-2022_21.07.32,0,25042
11-15-2022_21.07.32,0,24973
11-15-2022_21.07.32,0,25082
11-15-2022_21.07.32,0,24963
11-15-2022_21.07.32,0,25072
11-15-2022_21.07.32,0,24933
11-15-2022_21.07.32,0,25112
11-15-2022_21.07.32,0,25062
11-15-2022_21.07.33,0,24475
11-15-2022_21.07.33,0,23030
11-15-2022_21.07.33,0,21267
11-15-2022_21.07.33,0,19683
11-15-2022_21.07.33,0,17870
11-15-2022_21.07.33,0,16167
11-15-2022_21.07.33,0,14394
11-15-2022_21.07.33,0,12163
11-15-2022_21.07.33,0,11256
11-15-2022_21.07.33,0,10838
11-15-2022_21.07.34,0,10479
11-15-2022_21.07.34,0,10061
11-15-2022_21.07.34,0,9852
11-15-2022_21.07.34,0,9752
11-15-2022_21.07.34,0,9712
11-15-2022_21.07.34,0,9752
11-15-2022_21.07.34,0,9752
11-15-2022_21.07.34,0,9712
11-15-2022_21.07.34,0,9752
11-15-2022_21.07.34,0,9752
11-15-2022_21.07.35,0,9762
11-15-2022_21.07.35,0,9712
11-15-2022_21.07.35,0,9792
11-15-2022_21.07.35,0,9732
11-15-2022_21.07.35,0,9752
11-15-2022_21.07.35,0,9712
11-15-2022_21.07.35,0,9772
11-15-2022_21.07.35,0,9762
11-15-2022_21.07.35,0,9732
11-15-2022_21.07.35,1,9752
11-15-2022_21.07.36,1,9752
11-15-2022_21.07.36,1,9752
11-15-2022_21.07.36,1,9752
11-15-2022_21.07.36,0,9762
11-15-2022_21.07.36,0,9762
11-15-2022_21.07.36,0,9782
11-15-2022_21.07.36,0,9762
11-15-2022_21.07.36,1,9752
11-15-2022_21.07.36,1,9752
11-15-2022_21.07.36,1,9772
11-15-2022_21.07.37,1,9782
11-15-2022_21.07.37,0,9732
11-15-2022_21.07.37,0,9772
11-15-2022_21.07.37,0,9752
11-15-2022_21.07.37,0,9752
11-15-2022_21.07.37,0,9752
11-15-2022_21.07.37,1,9692
11-15-2022_21.07.37,1,9762
11-15-2022_21.07.37,1,9802
11-15-2022_21.07.37,0,9772
11-15-2022_21.07.38,0,9742
11-15-2022_21.07.38,0,9792
11-15-2022_21.07.38,0,9712
11-15-2022_21.07.38,0,9772
11-15-2022_21.07.38,1,9752
11-15-2022_21.07.38,1,9742
11-15-2022_21.07.38,1,9762
11-15-2022_21.07.38,0,9752
11-15-2022_21.07.38,0,9732
11-15-2022_21.07.38,0,9752
11-15-2022_21.07.39,0,9782
11-15-2022_21.07.39,0,9752
11-15-2022_21.07.39,1,9772
11-15-2022_21.07.39,1,9712
11-15-2022_21.07.39,1,9782
11-15-2022_21.07.39,0,9772
11-15-2022_21.07.39,0,9712
11-15-2022_21.07.39,0,9782
11-15-2022_21.07.39,0,9762
11-15-2022_21.07.39,0,9742
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9742
11-15-2022_21.07.40,1,9762
11-15-2022_21.07.40,1,9752
11-15-2022_21.07.40,1,9742
11-15-2022_21.07.40,1,9712
11-15-2022_21.07.41,1,9742
11-15-2022_21.07.41,1,9762
11-15-2022_21.07.41,1,9782
11-15-2022_21.07.41,1,9752
11-15-2022_21.07.41,1,9742
11-15-2022_21.07.41,1,9663
11-15-2022_21.07.41,1,9473
11-15-2022_21.07.41,1,9095
11-15-2022_21.07.41,1,8627
11-15-2022_21.07.41,1,8129
11-15-2022_21.07.42,1,7900
11-15-2022_21.07.42,1,7680
11-15-2022_21.07.42,1,7481
11-15-2022_21.07.42,1,7382
11-15-2022_21.07.42,1,7312
11-15-2022_21.07.42,1,7302
11-15-2022_21.07.42,1,7352
11-15-2022_21.07.42,1,7421
11-15-2022_21.07.42,1,7541
11-15-2022_21.07.42,1,7750
11-15-2022_21.07.43,1,7979
11-15-2022_21.07.43,1,8198
11-15-2022_21.07.43,1,8398
11-15-2022_21.07.43,1,8617
11-15-2022_21.07.43,1,8935
11-15-2022_21.07.43,1,9344
11-15-2022_21.07.43,1,10310
11-15-2022_21.07.43,1,11167
11-15-2022_21.07.43,1,11685
11-15-2022_21.07.43,1,11824
11-15-2022_21.07.44,1,11824
11-15-2022_21.07.44,1,11575
11-15-2022_21.07.44,1,10987
11-15-2022_21.07.44,1,10121
11-15-2022_21.07.44,1,9244
11-15-2022_21.07.44,1,8497
11-15-2022_21.07.44,1,8218
11-15-2022_21.07.44,1,7989
11-15-2022_21.07.44,1,7850
11-15-2022_21.07.44,1,7750
11-15-2022_21.07.45,1,7650
11-15-2022_21.07.45,1,7571
11-15-2022_21.07.45,1,7561
11-15-2022_21.07.45,1,7561
11-15-2022_21.07.45,1,7561
11-15-2022_21.07.45,1,7571
11-15-2022_21.07.45,1,7571
11-15-2022_21.07.45,1,7571
11-15-2022_21.07.45,1,7581
11-15-2022_21.07.45,1,7581
11-15-2022_21.07.46,1,7581
11-15-2022_21.07.46,1,7601
11-15-2022_21.07.46,1,7581
11-15-2022_21.07.46,1,7581
11-15-2022_21.07.46,1,7591
11-15-2022_21.07.46,0,7621
11-15-2022_21.07.46,0,7581
11-15-2022_21.07.46,0,7521
11-15-2022_21.07.46,0,7581
11-15-2022_21.07.46,0,7581
11-15-2022_21.07.47,0,7561
11-15-2022_21.07.47,0,7571
11-15-2022_21.07.47,0,7581
11-15-2022_21.07.47,0,7581
11-15-2022_21.07.47,0,7601
11-15-2022_21.07.47,0,7969
11-15-2022_21.07.47,0,10450
11-15-2022_21.07.47,0,12621
