Time,C9,C1,C2,C3,C4,C5,C6,C7,C8
11-29-2022_14.57.06,0.0,90.62631225585938,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5031367181555835
11-29-2022_14.57.06,0.0,94.2509765625,846.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.06,0.0,94.85751342773438,845.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.06,0.0,90.02462768554688,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.07,0.0,91.83453369140625,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.07,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.07,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.07,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.07,0.0,95.45919799804688,844.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,2.5041171869053502
11-29-2022_14.57.07,0.0,90.62631225585938,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.07,0.0,90.62631225585938,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.07,0.0,93.6492919921875,846.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.07,0.0,89.4180908203125,849.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.08,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.08,0.0,94.2509765625,846.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.08,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,2.5041171869053502
11-29-2022_14.57.08,0.0,90.62631225585938,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.08,0.0,91.23284912109375,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.08,0.0,94.85751342773438,845.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,2.5041171869053502
11-29-2022_14.57.08,0.0,89.4180908203125,849.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.08,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.08,0.0,94.85751342773438,845.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.57.08,0.0,91.83453369140625,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.09,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.09,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.09,0.0,93.6492919921875,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.09,0.0,91.83453369140625,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.09,0.0,93.6492919921875,845.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,2.5041171869053502
11-29-2022_14.57.09,0.0,91.83453369140625,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,2.5041171869053502
11-29-2022_14.57.09,0.0,90.62631225585938,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.09,0.0,94.2509765625,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.57.10,0.0,88.81640625,849.0,-9604.79736328125,-9969.482421875,0.13412117841653526,0.0,0.0,0.0
11-29-2022_14.58.38,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.38,0.0,94.2509765625,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.38,0.0,88.81640625,849.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.58.38,0.0,88.81640625,849.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.58.38,0.0,91.83453369140625,846.0,-9604.79736328125,-9969.482421875,0.13412117841653526,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,90.62631225585938,847.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,93.04275512695312,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,94.2509765625,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.39,0.0,90.02462768554688,848.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.39,0.0,91.23284912109375,847.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.39,0.0,93.6492919921875,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,3.0031757805368398
11-29-2022_14.58.39,0.0,92.44107055664062,846.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,88.20986938476562,849.0,-9604.79736328125,-9969.482421875,0.1527470420114696,0.0,0.0,0.0
11-29-2022_14.58.39,0.0,93.04275512695312,846.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
11-29-2022_14.58.40,0.0,94.2509765625,845.0,-9604.79736328125,-9969.482421875,0.13449519174173474,0.0,0.0,0.0
